Data;Prec;Temp;Umidade;VentoRaj;Coluna1
2016-02-24;0;25,9125;78,458333;6,9;
2016-02-25;0;26,916667;75,25;9;
2016-02-26;0;26,275;80,5;16,9;
2016-02-27;46,8;22,7375;76,666667;19,4;
2016-02-28;0;22,008333;58,708333;6,5;
2016-02-29;0;23,520833;61,666667;7;
2016-03-01;0;24,620833;59,916667;10,6;
2016-03-02;0;23,741667;73,041667;14;
2016-03-03;3,6;22,6875;70;13,9;
2016-03-04;,8;22,779167;64,875;12,1;
2016-03-05;,2;20,508333;75,708333;11;
2016-03-06;0;20,675;68,25;9,9;
2016-03-07;0;19,075;68;8,3;
2016-03-08;0;21,091667;73,333333;7,5;
2016-03-09;0;23,0875;82,875;8,1;
2016-03-10;4,4;22,5;74,083333;9,6;
2016-03-11;,6;19,566667;90,041667;12;
2016-03-12;32,6;19,491667;73,833333;11,1;
2016-03-13;,2;18,645833;76,458333;9,2;
2016-03-14;0;22,5875;70,708333;10,3;
2016-03-15;0;23,266667;69,708333;10,7;
2016-03-16;0;23,633333;78,875;9,3;
2016-03-17;0;24,066667;82,375;8,9;
2016-03-18;0;26,104167;78,833333;18;
2016-03-19;9,4;21,283333;72,083333;11,6;
2016-03-20;6;19,408333;74,708333;8;
2016-03-21;37,8;19,8;89,666667;11,4;
2016-03-22;18;20,8375;80,833333;14;
2016-03-23;0;20,7875;75,291667;7;
2016-03-24;0;21,720833;72,875;8;
2016-03-25;,6;21,954167;67,666667;12,5;
2016-03-26;4,8;21,008333;80,291667;22,8;
2016-03-27;50,4;19,891667;89,708333;11;
2016-03-28;11,6;21,195833;84,458333;13,7;
2016-03-29;8,6;21,454167;81,208333;10,6;
2016-03-30;,2;20,641667;82,041667;6;
2016-03-31;0;22,0375;78,75;8;
2016-04-01;0;22,141667;78,458333;9,5;
2016-04-02;0;23,1375;82,125;9,5;
2016-04-03;2,2;21,504167;82,958333;8;
2016-04-04;0;21,5875;77,583333;11,4;
2016-04-05;3,8;23,879167;82,125;11,3;
2016-04-06;14,6;22,475;89,333333;9,5;
2016-04-07;2,4;21,566667;81,375;8,3;
2016-04-08;0;19,966667;84,125;5,7;
2016-04-09;2,4;21,345833;81,791667;5,6;
2016-04-10;3,8;20,9375;84,208333;8,8;
2016-04-11;3,4;20,654167;83,916667;10,5;
2016-04-12;19;21,008333;82,291667;11,2;
2016-04-13;1,8;23,05;83,875;15,4;
2016-04-14;,2;22,083333;79,25;8,4;
2016-04-15;0;23,804167;82,583333;11,9;
2016-04-16;0;28,233333;69,208333;11,2;
2016-04-17;0;24,916667;85,375;8,7;
2016-04-18;5,8;23,145833;86,416667;9,6;
2016-04-19;;;86,904762;13,2;
2016-04-20;;;79,583333;9,3;
2016-04-21;;;;9,8;
2016-04-22;;;64,714286;9,6;
2016-04-23;4,6;22,954167;80,583333;12,4;
2016-04-24;60;21,120833;93,541667;18,2;
2016-04-25;;;;7,4;
2016-04-26;;;;13,6;
2016-04-27;;;64,5;13,2;
2016-04-28;;;64,428571;13,2;
2016-04-29;0;10,391667;73,958333;9;
